TRUE,half peak span,3hrs later,peak,AUC,peak index,mean,std,skewness
meal 1,105,62,169,2557.5,2,85.22580645,28.54053109,1.760774738
meal 2,120,60,208,3178.5,3,102.40625,51.28404928,1.10069174
meal 3,420,83,179,3813.5,17,125.7096774,29.39408932,0.114639642
meal 4,465,102,130,2655.5,2,85.625,20.34660598,0.59488067
meal 5,330,83,201,3714.5,3,118.5625,43.94736731,0.229588832
meal 6,465,123,149,3265,5,105.0625,22.73617368,0.282331
meal 7,195,117,203,3141,2,101.28125,44.76412792,0.961093935
meal 8,300,119,131,2370,12,84.55172414,23.42646044,0.188873246
meal 9,135,82,190,2923.5,2,94.4375,37.01514682,1.542059003
,,,,,,,,
,,,,,,,,
,,,,,,,,
PRED,,,,,,,,
meal 1,276,96.8,176,3032.7,2.8,97.7625,35.22922074,0.89621127
meal 2,312,108.6,160.6,2871,4.6,94.19159483,29.65770297,0.713847571
meal 3,282,100.4,178.4,3133.8,5,102.3728448,37.23163573,0.552515751
meal 4,204,88.8,183.8,3013.1,2.8,97.68266129,36.86800576,1.129390083
meal 5,300,100.4,174,3153.6,7.8,103.8022803,34.32098013,0.529525913
meal 6,216,92.2,186.6,3065.5,4.4,100.2478448,40.08743035,0.804461351
meal 7,297,97.2,161.6,2878.5,4.8,94.41659483,30.96168724,0.741767132
meal 8,249,93,190.2,3244.5,3,104.35,39.949373,0.823152902
meal 9,270,92.8,171.8,2959.5,2.8,95.92016129,33.53429759,0.939954417
,,,,,,,,
RMSE,27489,720.6755556,1431.462222,233289.1889,28.96888889,177.442521,190.6872185,0.28334238
,,,,,,,,
,,,,,,,,
,,,,,,,,
105,120,420,465,330,465,195,300,135
62,60,83,102,83,123,117,119,82
169,208,179,130,201,149,203,131,190
2557.5,3178.5,3813.5,2655.5,3714.5,3265,3141,2370,2923.5
2,3,17,2,3,5,2,12,2
85.22580645,102.40625,125.7096774,85.625,118.5625,105.0625,101.28125,84.55172414,94.4375
28.54053109,51.28404928,29.39408932,20.34660598,43.94736731,22.73617368,44.76412792,23.42646044,37.01514682
1.760774738,1.10069174,0.114639642,0.59488067,0.229588832,0.282331,0.961093935,0.188873246,1.542059003
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
276,312,282,204,300,216,297,249,270
96.8,108.6,100.4,88.8,100.4,92.2,97.2,93,92.8
176,160.6,178.4,183.8,174,186.6,161.6,190.2,171.8
3032.7,2871,3133.8,3013.1,3153.6,3065.5,2878.5,3244.5,2959.5
2.8,4.6,5,2.8,7.8,4.4,4.8,3,2.8
97.7625,94.19159483,102.3728448,97.68266129,103.8022803,100.2478448,94.41659483,104.35,95.92016129
35.22922074,29.65770297,37.23163573,36.86800576,34.32098013,40.08743035,30.96168724,39.949373,33.53429759
0.89621127,0.713847571,0.552515751,1.129390083,0.529525913,0.804461351,0.741767132,0.823152902,0.939954417
