accuracy	carb	protein	fat
SVM	0.555555556	0.555555556	0.555555556
MLPClassifier	0.222222222	0.111111111	0.333333333
KNeighborsClassifier	0.555555556	0.555555556	0.555555556
GaussianProcessClassifier	0.222222222	0.222222222	0.222222222
DecisionTreeClassifier	0.555555556	0	0.666666667
RandomForestClassifier	0.444444444	0.222222222	0.666666667
AdaBoostClassifier	0.444444444	0	0.666666667
XGBClassifier	0.444444444	0.222222222	0.444444444
			
			
			
			
RMSE	carb	protein	fat
LinearRegression	704.7945963	57.39532598	48.01928348
SVR	44.98871463	16.00124995	13.89308381
SGDRegressor	1.95E+16	2.76E+16	2.44E+16
BayesianRidge	36.17275466	16.69934545	17.88054225
LassoLars	36.54296793	16.94173224	7.089146372
ARDRegression	37.39554969	19.85394852	7.203804504
PassiveAggressiveRegressor	33.66581843	12.56504126	22.73682778
TheilSenRegressor	1131.660088	278.9333026	108.8550438
			
			
			
Feature used:			
half_peak_span			
3hrs later BG			
peak			
AUC			
peak index			
mean			
std			
skewness			
