Date,Time,Value,Parameter,mealMoment
31,27155,0.810263,EDA,1.0
31,27156,0.782067,EDA,1.0
31,27157,0.816671,EDA,1.0
31,27158,0.816671,EDA,1.0
31,27159,0.825643,EDA,1.0
31,27160,0.821798,EDA,1.0
31,27161,0.817953,EDA,1.0
31,27162,0.834614,EDA,1.0
31,27163,0.811545,EDA,1.0
31,27164,0.808982,EDA,1.0
31,27165,0.803855,EDA,1.0
31,27166,0.825643,EDA,1.0
31,27167,0.824361,EDA,1.0
31,27168,0.803855,EDA,1.0
31,27169,0.826925,EDA,1.0
31,27170,0.805137,EDA,1.0
31,27171,0.801292,EDA,1.0
31,27172,0.803855,EDA,1.0
31,27173,0.8077,EDA,1.0
31,27174,0.810263,EDA,1.0
31,27175,0.784631,EDA,1.0
31,27176,0.839741,EDA,1.0
31,27177,0.83077,EDA,1.0
31,27178,0.819235,EDA,1.0
31,27179,0.841023,EDA,1.0
31,27180,0.825643,EDA,1.0
31,27181,0.801292,EDA,1.0
31,27182,0.816671,EDA,1.0
31,27183,0.794884,EDA,1.0
31,27184,0.810263,EDA,1.0
31,27185,0.816671,EDA,1.0
31,27186,0.766688,EDA,1.0
31,27187,0.791039,EDA,1.0
31,27188,0.808982,EDA,1.0
31,27189,0.760279,EDA,1.0
31,27190,0.375787,EDA,1.0
31,27191,0.757716,EDA,1.0
31,27192,0.755153,EDA,1.0
31,27193,0.773096,EDA,1.0
31,27194,0.755153,EDA,1.0
31,27195,0.794884,EDA,1.0
31,27196,0.79232,EDA,1.0
31,27197,0.785912,EDA,1.0
31,27198,0.79232,EDA,1.0
31,27199,0.785912,EDA,1.0
31,27200,0.776941,EDA,1.0
31,27201,0.741055,EDA,1.0
31,27202,0.761561,EDA,1.0
31,27203,0.770532,EDA,1.0
31,27204,0.755153,EDA,1.0
31,27205,0.756434,EDA,1.0
31,27206,0.767969,EDA,1.0
31,27207,0.776941,EDA,1.0
31,27208,0.783349,EDA,1.0
31,27209,0.778222,EDA,1.0
31,27210,0.773096,EDA,1.0
31,27211,0.776941,EDA,1.0
31,27212,0.778222,EDA,1.0
31,27213,0.766688,EDA,1.0
31,27214,0.756434,EDA,1.0
31,27215,0.733365,EDA,1.0
31,27216,0.730802,EDA,1.0
31,27217,0.732083,EDA,1.0
31,27218,0.733365,EDA,1.0
31,27219,0.732083,EDA,1.0
31,27220,0.734647,EDA,1.0
31,27221,0.747463,EDA,1.0
31,27222,0.715422,EDA,1.0
31,27223,0.79232,EDA,1.0
31,27224,0.753871,EDA,1.0
31,27225,0.774377,EDA,1.0
31,27226,0.780786,EDA,1.0
31,27227,0.775659,EDA,1.0
31,27228,0.783349,EDA,1.0
31,27229,0.791039,EDA,1.0
31,27230,0.783349,EDA,1.0
31,27231,0.79232,EDA,1.0
31,27232,0.785912,EDA,1.0
31,27233,0.776941,EDA,1.0
31,27234,0.785912,EDA,1.0
31,27235,0.779504,EDA,1.0
31,27236,0.770532,EDA,1.0
31,27237,0.796165,EDA,1.0
31,27238,0.773096,EDA,1.0
31,27239,0.778222,EDA,1.0
31,27240,0.783349,EDA,1.0
31,27241,0.766688,EDA,1.0
31,27242,0.764124,EDA,1.0
31,27243,0.79232,EDA,1.0
31,27244,0.756434,EDA,1.0
31,27245,0.73721,EDA,1.0
31,27246,0.741055,EDA,1.0
31,27247,0.750026,EDA,1.0
31,27248,0.742336,EDA,1.0
31,27249,0.725675,EDA,1.0
31,27250,0.732083,EDA,1.0
31,27251,0.742336,EDA,1.0
31,27252,0.769251,EDA,1.0
31,27253,0.766688,EDA,1.0
31,27254,0.787194,EDA,1.0
31,27255,0.773096,EDA,1.0
31,27256,0.773096,EDA,1.0
31,27257,0.769251,EDA,1.0
31,27258,0.758998,EDA,1.0
31,27259,0.760279,EDA,1.0
31,27260,0.761561,EDA,1.0
31,27261,0.765406,EDA,1.0
31,27262,0.757716,EDA,1.0
31,27263,0.758998,EDA,1.0
31,27264,0.755153,EDA,1.0
31,27265,0.751308,EDA,1.0
31,27266,0.692352,EDA,1.0
31,27267,0.712859,EDA,1.0
31,27268,0.72183,EDA,1.0
31,27269,0.726957,EDA,1.0
31,27270,0.726957,EDA,1.0
31,27271,0.725675,EDA,1.0
